split_type,cell_line,heldout_drug,heldout_MoA,observed_library_fraction,information_condition_mode,subpopulation_variance_ratio,isotropy_index,response_diversity,mean_energy_disagreement,bootstrap_rank_stability,preference_conflict_topk,structure_reliability_score,recommendation_mode,seed
leave_MoA_out,A549,PF-3845,Metabolism,0.973404255319149,observed,0.03334423609904207,2.0178697886277366e-42,0.6063775420069095,0.3652194799735783,0.4,0.6299435028248588,0.44849728048856957,DART_recommended,1
leave_MoA_out,A549,Trichostatin A (TSA),Others,0.9787234042553191,observed,0.12970608280420293,1.0986179960306566e-42,0.6775302783448492,0.2728082679971489,0.6,0.6011299435028249,0.553235921633487,DART_recommended,1
leave_MoA_out,A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),TGF-beta/Smad,0.9840425531914894,observed,0.04036835896212575,2.802596928649634e-44,0.6285981175408292,0.3553466509988249,0.6,0.596045197740113,0.5483362164900488,DART_recommended,1
leave_MoA_out,A549,Tanespimycin (17-AAG),Cytoskeletal Signaling,0.9361702127659575,observed,0.02926718331135302,4.632692723057845e-42,0.5815793322079146,0.30428571428571427,1.0,0.5694915254237288,0.6524594831548505,DART_recommended,1
leave_MoA_out,A549,Avagacestat (BMS-708163),Proteases,0.9893617021276596,observed,0.027812551310832934,1.2877932887145069e-42,0.6004410234767588,0.40929962220284805,0.2,0.5677966101694916,0.36673662405117147,mean_or_no_call,1
leave_MoA_out,A549,BMS-911543,JAK/STAT,0.8936170212765957,observed,0.030983240418642498,3.713440930460765e-43,0.6012285058103015,0.37446535500427713,0.4,0.5813559322033899,0.4441354460884547,DART_recommended,1
partial_library,A549,batch,batch,0.2,observed,0.02801729314278852,7.468920814851275e-43,0.6080307543577261,0.5585585585585585,0.4,0.6531531531531531,0.5003504503596337,DART_recommended,1
partial_library,A549,batch,batch,0.4,observed,0.03694382986667065,6.544063828396896e-43,0.6226948217650754,0.5657657657657658,0.4,0.6870056497175141,0.5311189897945375,DART_recommended,1
partial_library,A549,batch,batch,0.6,observed,0.03635198980384936,1.7558269757989958e-42,0.5776062931846734,0.3869047619047619,0.4,0.6237288135593221,0.4622332653966821,DART_recommended,1
leave_drug_out,A549,AICAR (Acadesine),PI3K/Akt/mTOR,1.0,observed,0.03121275363526331,3.3491033297363128e-43,0.5929294912060301,0.4028205054082108,0.2,0.6412429378531074,0.3739183869192667,mean_or_no_call,2
leave_drug_out,A549,"Patupilone (EPO906, Epothilone B)",Cytoskeletal Signaling,1.0,observed,0.07874495908014237,1.8735360468022804e-42,0.6403960721576634,0.25283192455867975,0.8,0.7418079096045198,0.6225307808113043,DART_recommended,2
leave_drug_out,A549,Pelitinib (EKB-569),Protein Tyrosine Kinase,1.0,observed,0.028063587381236377,3.7947162413916046e-42,0.6184556571922111,0.36323385659249036,0.6,0.49265536723163844,0.5131681776703019,DART_recommended,2
leave_drug_out,A549,CYC116,Cell Cycle,1.0,observed,0.038649313560581385,6.319856074104925e-43,0.5603565189227386,0.23845667299177736,0.4,0.5666666666666667,0.4154434281211401,DART_recommended,2
leave_drug_out,A549,Dacinostat (LAQ824),Epigenetics,1.0,observed,0.10088966180238172,1.401298464324817e-44,0.7177100836212311,0.08665401644528775,0.6,0.288135593220339,0.4920999141179738,mean_sufficient,2
leave_drug_out,A549,"Tozasertib (VX-680, MK-0457)",Cell Cycle,1.0,observed,0.03384558051318799,6.263804135531932e-42,0.5385092454459799,0.1400908540532494,0.6,0.5728813559322034,0.4444194650027993,DART_recommended,2
leave_drug_out,A549,BMS-265246,Cell Cycle,1.0,observed,0.03701536356628651,7.355415639240965e-42,0.5747650361180905,0.44022770398481975,0.6,0.6367231638418079,0.5626022907053555,DART_recommended,2
leave_drug_out,A549,UNC1999,Epigenetics,1.0,observed,0.028960145104695644,1.7220556828087677e-41,0.6152217876491834,0.3836467138174918,0.6,0.5451977401129944,0.5226789639151275,DART_recommended,2
leave_drug_out,A549,Filgotinib (GLPG0634),JAK/STAT,1.0,observed,0.03328658050252658,2.090737308772627e-42,0.6035798131281407,0.3157955264217124,0.4,0.5655367231638418,0.4307461570679932,DART_recommended,2
leave_drug_out,A549,Entacapone,Epigenetics,1.0,observed,0.03307060387832117,3.3070643758065683e-43,0.5978831658291457,0.2762348341095969,0.2,0.5853107344632769,0.335682320156237,mean_or_no_call,2
leave_drug_out,A549,Tofacitinib (CP-690550) Citrate,JAK/STAT,1.0,observed,0.02914521124290336,1.5414283107572988e-44,0.5851826024654523,0.3369224575962638,0.4,0.6141242937853107,0.42387675413394765,DART_recommended,2
leave_drug_out,A549,Alendronate sodium trihydrate,Others,1.0,observed,0.02676547278247219,1.2611686178923354e-43,0.5888247389290201,0.325570697487206,0.2,0.6152542372881356,0.33312863636084067,mean_or_no_call,2
leave_drug_out,A549,PD173074,Angiogenesis,1.0,observed,0.029170555541360544,5.044674471569341e-44,0.6059875058888191,0.38514173998044965,0.4,0.5683615819209039,0.44291002620612097,DART_recommended,2
leave_drug_out,A549,UNC0379,Epigenetics,1.0,observed,0.03242366887011992,1.1269242250100179e-41,0.6090905945744347,0.27065723650163875,0.4,0.6028248587570622,0.4129100988433768,DART_recommended,2
leave_drug_out,A549,Lomustine,DNA Damage,1.0,observed,0.03107724174609173,2.970752744368612e-43,0.6055682465059673,0.41705479845897303,0.4,0.5689265536723164,0.45975772934951253,DART_recommended,2
leave_drug_out,A549,WP1066,JAK/STAT,1.0,observed,0.029500981561139665,6.726232628759122e-44,0.6014669048366834,0.29764814114289573,0.6,0.6209039548022599,0.49282648456710076,DART_recommended,2
leave_drug_out,A549,AR-42,Epigenetics,1.0,observed,0.07749450625033134,3.79051234599863e-42,0.6883960574356156,0.12546719567592435,0.6,0.3649717514124294,0.5027531242301351,mean_sufficient,2
leave_drug_out,A549,Danusertib (PHA-739358),Cell Cycle,1.0,observed,0.04020251696450136,1.1210387714598537e-44,0.5515935635207286,0.23782416192283362,0.6,0.6491525423728813,0.49900536391856876,DART_recommended,2
leave_drug_out,A549,Cimetidine,Neuronal Signaling,1.0,observed,0.03381379826145724,2.7605579747198896e-43,0.5956306679883794,0.43436260134552357,0.2,0.6378531073446327,0.3930313720541429,mean_or_no_call,2
leave_drug_out,A549,Navitoclax (ABT-263),Apoptosis,1.0,observed,0.03511002575589108,3.937648684752736e-43,0.6128076907977387,0.46587315278017366,0.2,0.5779661016949152,0.4096664498205079,DART_recommended,2
leave_drug_out,A549,"Fluorouracil (5-Fluoracil, 5-FU)",TYMS,1.0,observed,0.036611219599295974,1.8861477329812038e-42,0.592067441700691,0.32844574780058655,0.6,0.6653009390658909,0.5239964146981623,DART_recommended,2
leave_drug_out,A549,Quercetin,Epigenetics,1.0,observed,0.028773046904896574,1.0515343676293427e-41,0.5912215864478643,0.3672014260249554,0.6,0.5757062146892655,0.5139617984682106,DART_recommended,2
leave_drug_out,A549,Altretamine,DNA Damage,1.0,observed,0.02921148965107012,5.842013297770162e-42,0.6013241009736181,0.3495155400315312,0.4,0.5983050847457627,0.4300973180616081,DART_recommended,2
leave_drug_out,A549,Lapatinib (GW-572016) Ditosylate,Protein Tyrosine Kinase,1.0,observed,0.02645692074597312,2.2420775429197073e-44,0.6187352288787689,0.37921913633488585,0.8,0.42768361581920905,0.5939709828430063,DART_recommended,2
