cell_line,drug,n_per_arm,A_sup,A_unsup,G
A498,Erdafitinib ,300,0.7933333333333333,0.5033333333333334,0.2899999999999999
A498,Everolimus,300,0.7133333333333334,0.5333333333333333,0.18000000000000005
A498,Futibatinib,300,0.7583333333333333,0.5916666666666667,0.16666666666666663
A498,GSK1059615,300,0.945,0.6066666666666667,0.33833333333333326
A498,Gemcitabine,300,0.7116666666666667,0.5016666666666667,0.20999999999999996
A498,HI-TOPK-032,300,0.94,0.5133333333333333,0.42666666666666664
A498,Hydroxyfasudil,300,0.665,0.5033333333333334,0.16166666666666663
A498,IQ 1,300,0.8,0.505,0.29500000000000004
A498,Infigratinib,300,0.8416666666666667,0.5066666666666666,0.3350000000000001
A498,Ipatasertib,300,0.875,0.5583333333333333,0.31666666666666665
A498,Irinotecan,300,0.8166666666666667,0.53,0.2866666666666666
A498,Ixazomib,300,0.93,0.605,0.32500000000000007
A498,LB-100,300,0.6666666666666666,0.51,0.15666666666666662
A498,LJI308,300,0.765,0.5633333333333334,0.20166666666666666
A498,LY-2584702 (tosylate salt),300,0.79,0.5633333333333334,0.22666666666666668
A498,LY2090314,300,0.7216666666666667,0.6033333333333334,0.11833333333333329
A498,Lapatinib ditosylate,300,0.71,0.5866666666666667,0.1233333333333333
A498,Lonafarnib,300,0.975,0.5616666666666666,0.41333333333333333
A498,MK-3903,300,0.8316666666666667,0.5666666666666667,0.265
A498,MK-8353,300,0.7083333333333334,0.5066666666666667,0.20166666666666666
A498,ML264,300,0.8066666666666666,0.52,0.2866666666666666
A498,Methylprednisolone succinate,300,0.6816666666666666,0.5033333333333333,0.17833333333333334
A498,Minodronic acid,300,0.7466666666666667,0.5433333333333333,0.20333333333333337
A498,NG25,300,0.925,0.5383333333333333,0.3866666666666667
A498,NVP-BHG712,300,0.83,0.58,0.25
A498,OTS514,300,0.8166666666666667,0.535,0.2816666666666666
A498,Oleic acid,300,0.7366666666666667,0.5216666666666666,0.21500000000000008
A498,Oxaliplatin,300,0.7133333333333334,0.5166666666666666,0.19666666666666677
A498,PF-06260933,300,0.9183333333333333,0.7033333333333334,0.21499999999999997
A498,PH-797804,300,0.9166666666666666,0.6066666666666667,0.30999999999999994
A498,Paclitaxel,300,0.8733333333333333,0.5383333333333333,0.33499999999999996
A498,Pemigatinib,300,0.75,0.5266666666666666,0.22333333333333338
A498,Pimitespib,300,0.8866666666666667,0.5283333333333333,0.3583333333333334
A498,Pralsetinib,300,0.91,0.5066666666666666,0.40333333333333343
A498,RMC-6236,300,0.9166666666666666,0.6733333333333333,0.2433333333333333
A498,Ralimetinib dimesylate,300,0.8233333333333334,0.6016666666666667,0.22166666666666668
A498,Regorafenib,300,0.7983333333333333,0.5583333333333333,0.24
A498,SBI-0640756,300,0.8033333333333333,0.5383333333333333,0.265
A498,Sapanisertib,300,0.9333333333333333,0.56,0.3733333333333333
A498,Sonidegib,300,0.7766666666666666,0.6066666666666667,0.16999999999999993
A498,TAK-733,300,0.9716666666666667,0.865,0.10666666666666669
A498,TAK-901,300,0.9883333333333333,0.96,0.02833333333333332
A498,Temuterkib,300,0.8483333333333334,0.6283333333333334,0.21999999999999997
A498,Tomivosertib,300,0.7283333333333334,0.5916666666666667,0.13666666666666671
A498,Torkinib,272,0.7334558823529411,0.5036764705882353,0.22977941176470584
A498,Trametinib,300,0.8966666666666666,0.6066666666666667,0.2899999999999999
A498,Tubulin inhibitor 6,300,0.63,0.515,0.11499999999999999
A498,Tucatinib,300,0.835,0.6066666666666667,0.22833333333333328
A498,ULK-101,300,0.73,0.5433333333333333,0.18666666666666665
A498,Vemurafenib,300,0.785,0.6,0.18500000000000005
A498,Volasertib,300,0.7433333333333333,0.515,0.22833333333333328
A498,XRK3F2,300,0.8,0.6,0.20000000000000007
A498,c-Kit-IN-1,300,0.9633333333333334,0.5033333333333333,0.4600000000000001
A498,olaparib,300,0.7916666666666666,0.5233333333333333,0.2683333333333333
A498,palbociclib,300,0.84,0.6383333333333333,0.20166666666666666
A498,venetoclax,300,0.9566666666666667,0.5833333333333334,0.3733333333333333
A498,vincristine,300,0.8666666666666667,0.52,0.3466666666666667
A549,4EGI-1,300,0.77,0.5433333333333333,0.22666666666666668
A549,9-ING-41,300,0.7516666666666667,0.5449999999999999,0.20666666666666678
A549,APTO-253,300,0.715,0.5483333333333333,0.16666666666666663
A549,AT7519,300,0.5983333333333334,0.5333333333333333,0.06500000000000006
A549,AZD-7648,300,0.875,0.6133333333333333,0.2616666666666667
A549,AZD-8055,300,0.8416666666666667,0.6,0.2416666666666667
A549,AZD1390,300,0.7816666666666666,0.5033333333333334,0.2783333333333332
A549,AZD2858,300,0.695,0.5383333333333333,0.15666666666666662
A549,Abemaciclib,300,0.9333333333333333,0.6916666666666667,0.2416666666666667
A549,Adagrasib,300,0.59,0.5283333333333333,0.06166666666666665
A549,Afatinib,300,0.9216666666666666,0.66,0.2616666666666666
A549,Alpelisib,300,0.8583333333333333,0.5766666666666667,0.2816666666666666
A549,Anastrozole,300,0.7533333333333333,0.5066666666666666,0.2466666666666667
A549,BAY1125976,300,0.8766666666666667,0.62,0.2566666666666667
A549,BI-3406,300,0.9233333333333333,0.5883333333333334,0.33499999999999996
A549,BI-78D3,300,0.7016666666666667,0.535,0.16666666666666663
A549,Belumosudil (mesylate),300,0.765,0.5566666666666666,0.20833333333333337
A549,Belzutifan,300,0.9116666666666666,0.57,0.3416666666666667
A549,Bentamapimod,300,0.79,0.5366666666666666,0.2533333333333334
A549,Bimiralisib,300,0.9566666666666667,0.7233333333333334,0.23333333333333328
A549,Binimetinib,300,0.9166666666666666,0.665,0.2516666666666666
A549,Bortezomib,300,0.9966666666666667,0.9283333333333333,0.06833333333333336
A549,Brivudine,300,0.9866666666666667,0.8483333333333334,0.1383333333333333
A549,CP21R7,300,0.7183333333333334,0.56,0.15833333333333333
A549,Capivasertib,300,0.71,0.5083333333333333,0.20166666666666666
A549,Capmatinib,300,0.8666666666666667,0.5233333333333333,0.3433333333333334
A549,Celecoxib,300,0.6433333333333333,0.5316666666666667,0.11166666666666658
A549,DT-061,300,0.7916666666666666,0.575,0.21666666666666667
A549,DTP3,300,0.725,0.5516666666666667,0.17333333333333323
A549,Dabrafenib,300,0.82,0.6166666666666667,0.20333333333333325
A549,ERK5-IN-2,300,0.825,0.5466666666666666,0.2783333333333333
A549,ETC-206,300,0.6916666666666667,0.505,0.18666666666666665
A549,EX229,300,0.945,0.63,0.31499999999999995
