cell_line,drug_G1,drug_G2M,S_int,S_int_se,S_main,interaction_share,R_int,R_int_se,half_norm_mean,n_repeats,D_old
LOX-IMVI,NVP-BHG712,Hydroxyfasudil,0.0011528412397536966,1.4908424530947202e-05,0.0003395137325343159,0.7724980056093568,0.5762202287754761,0.011027491975865887,2.1508541285991667,10,0.9382930803983889
LOX-IMVI,DT-061,Torkinib,0.0003347711197824942,1.499361613489041e-05,0.0006877946822593609,0.3273834496655615,0.2681860055940194,0.0151160997172499,1.701443374156952,10,0.39807273182157965
LS 180,vincristine,Regorafenib,0.0028103813942935733,9.418145494750239e-06,0.0008799929275280898,0.7615437213714128,0.8172351212366383,0.0042091062017820344,2.815768826007843,10,0.9006919707321466
LS 180,GSK1059615,Oxaliplatin,0.0017790908821754985,8.63255232423457e-06,0.0007289723182717959,0.7093485051964443,0.791760548090502,0.006937592740674594,2.2759066224098206,10,0.7264334499579088
LS 180,Everolimus,Pimitespib,0.0007254645487086641,1.4270689372573915e-05,0.0002714856269045009,0.727683856680675,0.45350568721983553,0.011943222895820374,1.9226768136024475,10,0.8681041094988786
LS 180,Tomivosertib,Alpelisib,0.0019000223216911155,2.5156335358303906e-05,0.0009999362234440114,0.655189476718048,0.6080446960168027,0.01075687083576472,2.687889778614044,10,0.6856427382438295
LoVo,Ralimetinib dimesylate,Capivasertib,0.0007768520981901222,1.2660231409454538e-05,0.00030485247003121505,0.718174001490547,0.5616410807011679,0.013429837699358465,1.7875141322612762,10,0.8322753555915129
LoVo,Oxaliplatin,ETC-206,0.00016906493886684375,6.932875972992162e-06,0.00021200573925549783,0.4436576954697259,0.26736287641102235,0.013847874474703342,1.2102557718753815,10,0.5366098852275378
LoVo,Hydroxyfasudil,ULK-101,0.00015673202514234516,1.009803419597556e-05,0.00032829899703049,0.32313814576275807,0.1991964266506836,0.015134542788536718,1.354167914390564,10,0.43082722961819975
LoVo,Irinotecan,Regorafenib,0.0010380620343817604,6.045868327212284e-06,0.0006817365427398021,0.6035951234005387,0.6827672006490948,0.004730276720519235,1.8730547606945038,10,0.5306505065078884
MIA PaCa-2,Anastrozole,BAY1125976,0.0025209168179167645,1.370543424066719e-05,0.0007370196903745335,0.773777147437081,0.7472158171911832,0.007421975103726234,2.7911344289779665,10,0.8900055948166373
MIA PaCa-2,Everolimus,Pemigatinib,0.00022861893392271465,1.0582190428986375e-05,0.0001761555736367073,0.564805662543244,0.24448470680867013,0.014406345832152712,1.4730047106742858,10,0.6996778822724956
MIA PaCa-2,Futibatinib,AT7519,0.0009715907172196442,1.004321784664835e-05,0.00026269481362154086,0.7871685221469701,0.5891337298297842,0.009085867871614845,1.9514758348464967,10,0.9589032073829351
MIA PaCa-2,Regorafenib,Celecoxib,0.00022385487229459815,1.142222880141909e-05,0.00017948535193378724,0.5550025979254766,0.2505182820915907,0.01562197304647664,1.4417397677898407,10,0.6831860611358231
NCI-H1573,PH-797804,LY2090314,0.006770347100165155,1.2604386310688559e-05,0.0018406018614768981,0.7862486620608298,0.9051964503101878,0.0029780835375814363,4.152700889110565,10,0.9376485124076719
NCI-H1573,Tomivosertib,ETC-206,0.0007816627569910554,1.0592285811351087e-05,0.00036841118708252907,0.6796630434234433,0.490461980908092,0.008144827724127644,1.9196710228919982,10,0.7551307170721524
NCI-H1573,BAY1125976,AZD-7648,0.005544785079028872,1.632526884170415e-05,0.0007847221878667671,0.8760215993477102,0.8432487080048148,0.0035862923717404835,3.894470679759979,10,1.2505262036922464
NCI-H1573,Capivasertib,Tubulin inhibitor 6,0.0002148927066526893,2.1457151695272132e-05,0.00023204554389748307,0.48081073031489363,0.17995383905318654,0.021024842586669118,1.673523372411728,10,0.6626302008921198
NCI-H1792,Temuterkib,ETC-206,0.0006693151210331254,1.971001997722237e-05,0.00036108221910479993,0.6495699231361887,0.26565834802930977,0.009624880531586385,2.413268518447876,10,0.8103953187009119
NCI-H1792,ULK-101,HI-TOPK-032,0.0017319483165111806,2.528974708972013e-05,0.0008778449354900254,0.6636342994538406,0.5075764774264756,0.01158805845224798,2.8068305969238283,10,0.6890911909005903
NCI-H1792,Irinotecan,ML264,0.0006306824170880848,3.654479138195403e-05,0.0002856348718826969,0.6882795126527348,0.3051480417313949,0.020828924016800643,2.1942625761032106,10,0.8421362633803282
