split_type,cell_line,heldout_drug,observed_library_fraction,seed,recommendation_mode,regret_reduction
leave_MoA_out,K562,Celecoxib,0.9787234042553192,0,DART_recommended,0.8757915496826173
leave_MoA_out,K562,Ramelteon,0.9893617021276596,0,DART_recommended,-0.07602500915527341
partial_library,K562,batch,0.2,0,DART_recommended,0.3056488037109375
partial_library,K562,batch,0.4,0,DART_recommended,0.2554244995117188
partial_library,K562,batch,0.6,0,DART_recommended,0.21017646789550778
leave_drug_out,K562,Hesperadin,1.0,1,DART_recommended,-0.100189208984375
leave_drug_out,K562,Celecoxib,1.0,1,mean_or_no_call,0.5050754547119141
leave_drug_out,K562,WHI-P154,1.0,1,DART_recommended,0.0
leave_drug_out,K562,Givinostat (ITF2357),1.0,1,DART_recommended,0.0247669219970703
leave_drug_out,K562,UNC1999,1.0,1,mean_or_no_call,0.13854026794433597
leave_drug_out,K562,FLLL32,1.0,1,DART_recommended,1.3379268646240234
leave_drug_out,K562,Zileuton,1.0,1,DART_recommended,0.04779624938964841
leave_drug_out,K562,S3I-201,1.0,1,mean_or_no_call,1.7517814636230469
leave_drug_out,K562,AC480 (BMS-599626),1.0,1,DART_recommended,0.4215106964111328
leave_drug_out,K562,Andarine,1.0,1,DART_recommended,0.4746513366699219
