split_type,cell_line,heldout_drug,observed_library_fraction,seed,classA_regret_reduction,classB_moa_ndcg_gain
leave_drug_out,K562,CEP-33779,1.0,4,-0.1661720275878906,-0.2934556883974402
leave_drug_out,K562,Motesanib Diphosphate (AMG-706),1.0,4,0.4222660064697265,0.0
leave_drug_out,K562,Azacitidine,1.0,4,0.0,0.0
leave_drug_out,K562,WP1066,1.0,4,0.07645416259765628,0.54550172377862
leave_drug_out,K562,Tie2 kinase inhibitor,1.0,4,0.366943359375,0.0
leave_drug_out,K562,Trametinib (GSK1120212),1.0,4,-0.0036792755126953125,0.0
leave_drug_out,K562,SB431542,1.0,4,-0.09057426452636722,0.3868528072345416
leave_drug_out,K562,Streptozotocin (STZ),1.0,4,-0.2204914093017579,0.0783982689786753
leave_drug_out,K562,Raltitrexed,1.0,4,0.0,-0.06625422345438911
leave_drug_out,K562,Flavopiridol HCl,1.0,4,-0.5196437835693359,0.1731866333482261
leave_drug_out,K562,Sodium Phenylbutyrate,1.0,4,0.6842327117919923,0.0636207881989517
leave_drug_out,K562,Quercetin,1.0,4,-0.15311622619628912,0.31516255047698366
leave_drug_out,K562,NVP-BSK805 2HCl,1.0,4,-0.0931015014648437,-0.06625422345438908
leave_drug_out,K562,Tucidinostat (Chidamide),1.0,4,0.49630165100097656,-0.2602127604611853
leave_drug_out,K562,Linifanib (ABT-869),1.0,4,0.22130966186523432,0.0
leave_drug_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,4,0.5500583648681641,0.0
leave_drug_out,K562,Nilotinib (AMN-107),1.0,4,0.1675014495849609,-0.09243734892346617
leave_drug_out,K562,S3I-201,1.0,4,0.24293708801269528,-0.07336392209936
leave_drug_out,K562,GSK1070916,1.0,4,-0.0018215179443359097,-0.5929063431695804
leave_drug_out,K562,INO-1001 (3-Aminobenzamide),1.0,4,-0.0943679809570312,-0.1736666713479918
leave_drug_out,K562,AZD1480,1.0,4,0.016336441040039118,0.0
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,4,0.2844829559326172,0.0
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,4,-0.06065940856933602,0.0
leave_drug_out,K562,MK-5108 (VX-689),1.0,4,0.7749271392822267,0.01639009539087538
leave_drug_out,MCF7,Selisistat (EX 527),1.0,0,-0.017771720886230497,0.021522329442669297
leave_drug_out,MCF7,KW-2449,1.0,0,-0.11284160614013669,-0.1708356179021415
leave_drug_out,MCF7,Lenalidomide (CC-5013),1.0,0,0.08911800384521493,-0.1460683498427064
leave_drug_out,MCF7,MK-0752,1.0,0,0.2229957580566406,0.0
leave_drug_out,MCF7,Resminostat,1.0,0,0.0,0.132323914271904
