separation_scale,cells_per_source,seed,n_total,ari_kmeans_k2,acc_kmeans_k2,k_kmeans_k2,ari_gmm_k2,acc_gmm_k2,k_gmm_k2,ari_leiden,acc_leiden,k_leiden,ari_hdbscan,acc_hdbscan,k_hdbscan,probe_linear_acc,probe_linear_auc,probe_linear_ari,probe_forest_acc,probe_forest_auc,probe_forest_ari,probe_knn_acc,probe_knn_auc,probe_knn_ari,probe_acc,probe_auc,probe_ari
1.0,200,1,400,0.08473391005266379,0.6475,2,0.15004669174479401,0.695,2,0.07391817762790749,0.6775,5,0.0,0.5,0,0.7375,0.80045,0.2237008384378297,0.725,0.776525,0.200576575218571,0.6,0.6926625000000001,0.03779126069089421,0.7375,0.80045,0.2237008384378297
1.0,200,2,400,0.03560949181926536,0.5975,2,0.07344219003151597,0.6375,2,0.08130307642867346,0.6825,5,0.0,0.5,0,0.675,0.71565,0.12035909955282141,0.66,0.6955250000000001,0.1003348287459861,0.605,0.6702374999999999,0.041698481985306034,0.675,0.71565,0.12035909955282141
1.0,200,3,400,0.06526574131490268,0.63,2,0.14618402674212022,0.6925,2,0.07752415280214786,0.6825,6,0.0,0.5,0,0.725,0.772675,0.20054765321627555,0.725,0.7433875000000001,0.2006426461082882,0.65,0.7222125,0.08772823753587881,0.725,0.772675,0.2006426461082882
1.0,200,4,400,0.07069412130900189,0.635,2,0.12059771400239465,0.675,2,0.06464653124828554,0.665,6,0.0,0.5,0,0.68,0.7583249999999999,0.1274691879115313,0.695,0.7376874999999999,0.15008256440287207,0.5975,0.67685,0.03573063099699944,0.695,0.7583249999999999,0.15008256440287207
1.0,200,5,400,0.06529697608317636,0.63,2,0.09398278081411297,0.655,2,0.06412247853491057,0.6625,5,0.0,0.5,0,0.6425,0.7087999999999999,0.07892352074459735,0.615,0.6600999999999999,0.05066943005181347,0.5875,0.656025,0.028189445465487094,0.6425,0.7087999999999999,0.07892352074459735
1.0,200,6,400,0.06015958537350153,0.625,2,0.09712105445716268,0.6575,2,0.06396029852601584,0.665,6,0.0,0.5,0,0.695,0.7582249999999999,0.15000569071313302,0.6775,0.7128125,0.12396120409227226,0.6225,0.6835625,0.05768035994823963,0.695,0.7582249999999999,0.15000569071313302
1.0,200,7,400,0.03561288413042622,0.5975,2,0.07617726861621947,0.64,2,0.08381413117279699,0.68,5,0.009284433026137122,0.555,2,0.6725,0.751825,0.11686480483181888,0.665,0.7382875,0.10667923592509801,0.5675,0.703,0.016754382447581845,0.6725,0.751825,0.11686480483181888
1.0,200,8,400,0.10340761918149831,0.6625,2,0.13858529303314635,0.6875,2,0.07355264061534235,0.665,5,0.0,0.5,0,0.7225,0.763425,0.19607184748660986,0.68,0.7391875,0.12757286416633737,0.6675,0.7150875,0.11017600742160095,0.7225,0.763425,0.19607184748660986
1.0,200,9,400,0.021586629585951204,0.5775,2,0.057883455757608414,0.6225,2,0.03843952761826531,0.63,6,0.002345008422902765,0.535,2,0.67,0.72835,0.11338590907217924,0.6275,0.6623374999999999,0.06284117331307561,0.595,0.6379374999999999,0.03379563892230191,0.67,0.72835,0.11338590907217924
1.0,400,0,800,0.13957569155676208,0.6875,2,0.206123841265246,0.7275,2,0.08709360646629388,0.69875,6,0.0,0.5,0,0.73125,0.7896562500000001,0.21295964065540937,0.705,0.7736406250000001,0.1671514490846897,0.6425,0.7293875,0.08011526671537791,0.73125,0.7896562500000001,0.21295964065540937
1.0,400,1,800,0.09189253657502297,0.6525,2,0.1818743907162571,0.71375,2,0.10517416611748012,0.6975,5,0.0,0.5,0,0.72875,0.7819750000000001,0.20833847722843227,0.72375,0.7754875000000001,0.19931306910505006,0.62625,0.732490625,0.06272484408903005,0.72875,0.7819750000000001,0.20833847722843227
1.0,400,2,800,0.0517181785597689,0.615,2,0.11809784379071865,0.6725,2,0.0826427962799399,0.68625,6,0.0,0.5,0,0.6925,0.745,0.14719619200184053,0.6725,0.71186875,0.11798736567465587,0.6475,0.6977937500000001,0.0859160010306622,0.6925,0.745,0.14719619200184053
