setting,alpha,method,reference,hit@1,mrr,population_minus_mean_hit@1,population_minus_mean_mrr
crossline:K562+A549,0.5,coverage_mean,raw_normalized_expression,0.9733333333333334,0.9855555555555556,0.32,0.18455555555555556
crossline:K562+A549,0.5,coverage_worst,matched_control_referenced,0.9666666666666667,0.981111111111111,0.31333333333333335,0.1801111111111111
crossline:K562+A549,0.5,coverage_worst,raw_normalized_expression,0.9666666666666667,0.981111111111111,0.31333333333333335,0.1801111111111111
crossline:K562+A549,0.5,global_energy,matched_control_referenced,0.96,0.9753968253968253,0.30666666666666664,0.1743968253968254
crossline:K562+A549,0.5,global_energy,raw_normalized_expression,0.96,0.9753968253968253,0.30666666666666664,0.1743968253968254
crossline:K562+A549,0.5,mmd_rbf,matched_control_referenced,0.9666666666666667,0.981111111111111,0.31333333333333335,0.1801111111111111
crossline:K562+A549,0.5,mmd_rbf,raw_normalized_expression,0.9666666666666667,0.981111111111111,0.31333333333333335,0.1801111111111111
crossline:K562+A549,0.5,sliced_wasserstein,matched_control_referenced,0.7466666666666667,0.836010582010582,0.09333333333333334,0.03501058201058201
crossline:K562+A549,0.5,sliced_wasserstein,raw_normalized_expression,0.7466666666666667,0.836010582010582,0.09333333333333334,0.03501058201058201
crossline:K562+A549,0.6,coverage_mean,matched_control_referenced,0.9533333333333334,0.9735555555555555,0.36,0.20677777777777778
crossline:K562+A549,0.6,coverage_mean,raw_normalized_expression,0.9533333333333334,0.9735555555555555,0.36,0.20677777777777778
crossline:K562+A549,0.6,coverage_worst,matched_control_referenced,0.94,0.9596666666666666,0.3466666666666667,0.1928888888888889
crossline:K562+A549,0.6,coverage_worst,raw_normalized_expression,0.94,0.9596666666666666,0.3466666666666667,0.1928888888888889
crossline:K562+A549,0.6,global_energy,matched_control_referenced,0.9333333333333333,0.9638888888888889,0.34,0.1971111111111111
crossline:K562+A549,0.6,global_energy,raw_normalized_expression,0.9333333333333333,0.9638888888888889,0.34,0.1971111111111111
crossline:K562+A549,0.6,mmd_rbf,matched_control_referenced,0.9533333333333334,0.9727777777777777,0.36,0.20600000000000002
crossline:K562+A549,0.6,mmd_rbf,raw_normalized_expression,0.9533333333333334,0.9727777777777777,0.36,0.20600000000000002
crossline:K562+A549,0.6,sliced_wasserstein,matched_control_referenced,0.78,0.8611666666666667,0.18666666666666668,0.09438888888888888
crossline:K562+A549,0.6,sliced_wasserstein,raw_normalized_expression,0.78,0.8611666666666667,0.18666666666666668,0.09438888888888888
crossline:K562+A549,0.7,coverage_mean,matched_control_referenced,0.9533333333333334,0.9727777777777777,0.44,0.24622222222222226
crossline:K562+A549,0.7,coverage_mean,raw_normalized_expression,0.9533333333333334,0.9727777777777777,0.44,0.24622222222222226
crossline:K562+A549,0.7,coverage_worst,matched_control_referenced,0.9333333333333333,0.9575555555555555,0.42,0.23099999999999998
crossline:K562+A549,0.7,coverage_worst,raw_normalized_expression,0.9333333333333333,0.9575555555555555,0.42,0.23099999999999998
crossline:K562+A549,0.7,global_energy,matched_control_referenced,0.94,0.9650833333333333,0.4266666666666667,0.23852777777777778
crossline:K562+A549,0.7,global_energy,raw_normalized_expression,0.94,0.9650833333333333,0.4266666666666667,0.23852777777777778
crossline:K562+A549,0.7,mmd_rbf,matched_control_referenced,0.94,0.9661616161616162,0.4266666666666667,0.23960606060606063
crossline:K562+A549,0.7,mmd_rbf,raw_normalized_expression,0.94,0.9661616161616162,0.4266666666666667,0.23960606060606063
crossline:K562+A549,0.7,sliced_wasserstein,matched_control_referenced,0.7466666666666667,0.8353249559082893,0.23333333333333334,0.10876940035273369
