seed,query_drug,query_moa,n_query_cells,n_candidates,n_same_moa_candidates,query_silhouette,hit_at_1,moa_ndcg,sil_tertile
1,Navitoclax (ABT-263),Bcl-2,120,180,2,0.03529737889766693,1.0,0.8503449055347546,high
1,GSK1070916,Aurora Kinase,120,180,11,0.035508349537849426,0.0,0.4650459456474877,high
1,Pelitinib (EKB-569),EGFR,120,180,1,0.01744803600013256,0.0,0.18665241123894338,low
1,Tranylcypromine (2-PCPA) HCl,MAO,120,180,0,0.02907559834420681,0.0,0.0,mid
1,Tubastatin A HCl,HDAC,120,180,22,0.031300388276576996,0.0,0.4647984415672764,mid
1,Raltitrexed,DNA/RNA Synthesis,120,180,7,0.025484930723905563,1.0,0.7494010914141245,mid
1,Clevudine ,DNA/RNA Synthesis,120,180,7,0.022444013506174088,0.0,0.2854035496480086,low
1,Mercaptopurine (6-MP),DNA/RNA Synthesis,120,180,7,0.01914490945637226,0.0,0.3309990940152164,low
1,Filgotinib (GLPG0634),JAK,120,180,15,0.02474946901202202,0.0,0.42622469290929055,mid
1,Zileuton,Lipoxygenase,120,180,0,0.04008912295103073,0.0,0.0,high
1,EED226,Epigenetic Reader Domain,120,180,2,0.02470918744802475,0.0,0.17557355762063304,mid
1,S3I-201,STAT,120,180,0,0.017651693895459175,0.0,0.0,low
1,Iniparib (BSI-201),PARP,120,180,6,0.020732970908284187,0.0,0.31902044642316746,low
1,Anacardic Acid,Histone Acetyltransferase,120,180,0,0.03110072761774063,0.0,0.0,mid
1,CYC116,"Aurora Kinase,VEGFR",120,180,0,0.04600343480706215,0.0,0.0,high
1,Motesanib Diphosphate (AMG-706),"VEGFR,PDGFR,c-Kit",120,180,0,0.033238623291254044,0.0,0.0,high
1,TAK-901,Aurora Kinase,120,180,11,0.03177021071314812,0.0,0.45761623329780704,high
1,Panobinostat (LBH589),HDAC,120,180,22,0.033404018729925156,1.0,0.8994263906732204,high
1,Ellagic acid,Topoisomerase,120,180,2,0.01975971832871437,0.0,0.19605093218265726,low
1,Entinostat (MS-275),HDAC,120,180,22,0.023932790383696556,1.0,0.6695534522128682,low
1,Roxadustat (FG-4592),HIF,120,180,2,0.016450360417366028,0.0,0.20929447273820004,low
1,CUDC-101,"EGFR,HDAC,HER2",120,180,0,0.03602244704961777,0.0,0.0,high
1,Vandetanib (ZD6474),VEGFR,120,180,1,0.03813837468624115,0.0,0.14555268036201674,high
1,ITSA-1 (ITSA1),HDAC,120,180,22,0.013810466043651104,0.0,0.4422512315180251,low
1,Dasatinib,"Bcr-Abl,c-Kit,Src",120,180,0,0.02202739007771015,0.0,0.0,low
1,Veliparib (ABT-888),PARP,120,180,6,0.028938256204128265,0.0,0.3138240309652115,mid
1,"Patupilone (EPO906, Epothilone B)",Microtubule Associated,120,180,1,0.038987137377262115,0.0,0.16794877895704194,high
