split_type,cell_line,heldout_drug,observed_library_fraction,seed,ndcg_gain
leave_drug_out,K562,Danusertib (PHA-739358),1.0,3,0.3526893995084548
leave_drug_out,K562,XAV-939,1.0,3,0.0
leave_drug_out,K562,PFI-1 (PF-6405761),1.0,3,-0.6515650105872839
leave_drug_out,K562,Quercetin,1.0,3,0.0275303813709077
leave_MoA_out,K562,PD173074,0.9414893617021276,3,0.0
leave_MoA_out,K562,"Tozasertib (VX-680, MK-0457)",0.8882978723404256,3,0.0
leave_MoA_out,K562,SL-327,0.9787234042553192,3,0.0
leave_MoA_out,K562,Disulfiram,0.973404255319149,3,0.0
leave_MoA_out,K562,Divalproex Sodium,0.9893617021276596,3,0.0
partial_library,K562,batch,0.2,3,0.0
partial_library,K562,batch,0.4,3,0.0
partial_library,K562,batch,0.6,3,0.0
leave_drug_out,K562,SRT3025 HCl,1.0,4,0.0464250949500883
leave_drug_out,K562,Ruxolitinib (INCB018424),1.0,4,0.0
leave_drug_out,K562,Sorafenib Tosylate,1.0,4,0.1356519734324477
leave_drug_out,K562,Epothilone A,1.0,4,-0.0662542234543891
leave_drug_out,K562,Ki8751,1.0,4,0.0
leave_drug_out,K562,ENMD-2076,1.0,4,0.0288165607245145
leave_drug_out,K562,AT9283,1.0,4,0.0636207881989517
leave_drug_out,K562,CEP-33779,1.0,4,-0.2934556883974402
leave_drug_out,K562,Motesanib Diphosphate (AMG-706),1.0,4,0.0
leave_drug_out,K562,Azacitidine,1.0,4,0.0
leave_drug_out,K562,WP1066,1.0,4,0.54550172377862
leave_drug_out,K562,Tie2 kinase inhibitor,1.0,4,0.0
leave_drug_out,K562,Trametinib (GSK1120212),1.0,4,0.0
leave_drug_out,K562,SB431542,1.0,4,0.3868528072345416
leave_drug_out,K562,Streptozotocin (STZ),1.0,4,0.0783982689786753
leave_drug_out,K562,Raltitrexed,1.0,4,-0.0662542234543891
leave_drug_out,K562,Flavopiridol HCl,1.0,4,0.1731866333482261
leave_drug_out,K562,Sodium Phenylbutyrate,1.0,4,0.0636207881989517
leave_drug_out,K562,Quercetin,1.0,4,0.3151625504769836
leave_drug_out,K562,NVP-BSK805 2HCl,1.0,4,-0.066254223454389
leave_drug_out,K562,Tucidinostat (Chidamide),1.0,4,-0.2602127604611853
leave_drug_out,K562,Linifanib (ABT-869),1.0,4,0.0
leave_drug_out,K562,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),1.0,4,0.0
leave_drug_out,K562,Nilotinib (AMN-107),1.0,4,-0.0924373489234661
leave_drug_out,K562,S3I-201,1.0,4,-0.07336392209936
leave_drug_out,K562,GSK1070916,1.0,4,-0.5929063431695804
leave_drug_out,K562,INO-1001 (3-Aminobenzamide),1.0,4,-0.1736666713479918
leave_drug_out,K562,AZD1480,1.0,4,0.0
leave_drug_out,K562,Mercaptopurine (6-MP),1.0,4,0.0
leave_drug_out,K562,"Roscovitine (Seliciclib,CYC202)",1.0,4,0.0
leave_drug_out,K562,MK-5108 (VX-689),1.0,4,0.0163900953908753
leave_MoA_out,K562,Sorafenib Tosylate,0.9787234042553192,4,0.0
leave_MoA_out,K562,Givinostat (ITF2357),0.9361702127659576,4,0.0
leave_MoA_out,K562,CEP-33779,0.8936170212765957,4,0.0
leave_MoA_out,K562,SNS-314,0.8882978723404256,4,0.0
leave_MoA_out,K562,Celecoxib,0.9787234042553192,4,0.0
leave_MoA_out,K562,Trichostatin A (TSA),0.9787234042553192,4,0.0
leave_MoA_out,K562,Divalproex Sodium,0.9893617021276596,4,0.0
partial_library,K562,batch,0.2,4,0.0
partial_library,K562,batch,0.4,4,0.0
partial_library,K562,batch,0.6,4,0.0
leave_drug_out,MCF7,Selisistat (EX 527),1.0,0,0.0215223294426692
leave_drug_out,MCF7,KW-2449,1.0,0,-0.1708356179021415
